code,name,median age,population density,population density deciles,Age 0 to 15,Age 65 plus,Age 85 plus,Working age 16 to 64,Old Age Dependency Ratio,Dependency Ratio
E06000001,Hartlepool,41.7,996,7,19.2,19.4,2.5,61.4,31.7,63.0
E06000002,Middlesbrough,36.3,2611,9,21.1,16.4,2.0,62.5,26.2,59.9
E06000003,Redcar and Cleveland,45.2,560,5,18.1,22.6,2.7,59.3,38.2,68.6
E06000004,Stockton-on-Tees,40.7,963,6,20.0,18.5,2.3,61.6,30.0,62.4
E06000005,Darlington,43.2,542,5,18.9,20.5,2.7,60.6,33.9,65.1
E06000006,Halton,40.9,1638,8,20.0,18.4,1.9,61.6,29.9,62.4
E06000007,Warrington,42.3,1160,7,18.9,18.9,2.2,62.2,30.3,60.6
E06000008,Blackburn with Darwen,36.5,1093,7,23.1,14.5,1.6,62.4,23.3,60.4
E06000009,Blackpool,43.4,3984,9,18.8,20.4,2.6,60.8,33.6,64.6
E06000010,"Kingston upon Hull, City of",35.8,3659,9,20.1,15.1,1.8,64.8,23.4,54.4
E06000011,East Riding of Yorkshire,49.2,142,2,16.4,26.2,3.2,57.4,45.6,74.2
E06000012,North East Lincolnshire,42.6,831,6,19.5,20.6,2.8,59.9,34.4,66.8
E06000013,North Lincolnshire,44.3,204,3,18.5,21.3,2.6,60.2,35.4,66.2
E06000014,York,37.7,774,6,15.6,18.4,2.6,66.0,27.9,51.5
E06000015,Derby,37,3299,9,21.0,16.5,2.5,62.6,26.3,59.9
E06000016,Leicester,31.6,4852,10,21.5,12.2,1.7,66.4,18.3,50.7
E06000017,Rutland,47.6,105,2,16.9,25.5,3.4,57.6,44.2,73.6
E06000018,Nottingham,29.7,4439,10,18.8,11.6,1.7,69.6,16.7,43.7
E06000019,"Herefordshire, County of",47.4,88,1,16.7,24.7,3.3,58.6,42.2,70.8
E06000020,Telford and Wrekin,39.5,620,6,20.6,17.3,1.8,62.1,27.8,61.0
E06000021,Stoke-on-Trent,37.8,2757,9,20.5,17.2,2.0,62.3,27.6,60.5
E06000022,Bath and North East Somerset,38.2,559,5,16.7,19.0,2.8,64.3,29.5,55.6
E06000023,"Bristol, City of",32.4,4213,9,18.5,13.0,2.0,68.5,19.0,46.1
E06000024,North Somerset,46,575,6,18.2,24.0,3.4,57.8,41.5,73.0
E06000025,South Gloucestershire,40.6,574,6,18.8,18.8,2.6,62.4,30.2,60.2
E06000026,Plymouth,38.6,3276,9,18.2,18.5,2.5,63.3,29.3,58.0
E06000027,Torbay,49.1,2163,8,16.8,26.9,3.8,56.4,47.7,77.5
E06000030,Swindon,40.1,966,7,20.5,16.3,2.1,63.2,25.7,58.2
E06000031,Peterborough,36.7,590,6,23.4,14.9,2.1,61.7,24.1,62.0
E06000032,Luton,34.6,4955,10,24.5,12.6,1.8,62.9,20.1,59.0
E06000033,Southend-on-Sea,41.8,4360,10,19.6,19.5,3.0,60.9,31.9,64.1
E06000034,Thurrock,36.9,1070,7,23.3,13.8,1.6,62.9,22.0,59.1
E06000035,Medway,38.2,1436,7,21.0,16.1,1.8,62.9,25.6,58.9
E06000036,Bracknell Forest,39.3,1124,7,20.7,14.7,1.8,64.6,22.7,54.7
E06000037,West Berkshire,43.5,225,3,19.9,19.3,2.4,60.8,31.7,64.5
E06000038,Reading,34.8,4045,9,20.9,12.5,1.8,66.6,18.8,50.2
E06000039,Slough,35,4531,10,26.4,10.2,1.3,63.4,16.0,57.6
E06000040,Windsor and Maidenhead,42.3,769,6,20.3,18.8,3.0,60.9,30.8,64.2
E06000041,Wokingham,41.6,956,6,21.2,17.6,2.5,61.2,28.8,63.5
E06000042,Milton Keynes,38,872,6,23.2,14.2,1.6,62.6,22.6,59.6
E06000043,Brighton and Hove,35.3,3505,9,15.4,13.4,2.1,71.2,18.7,40.4
E06000044,Portsmouth,34.1,5373,10,18.4,14.2,2.0,67.4,21.0,48.4
E06000045,Southampton,32.3,5050,10,18.5,13.4,1.9,68.1,19.7,46.9
E06000046,Isle of Wight,50.6,373,4,15.5,28.3,3.8,56.1,50.5,78.2
E06000047,County Durham,43.4,238,3,17.2,20.8,2.4,62.0,33.6,61.4
E06000049,Cheshire East,46.4,329,4,18.0,23.0,3.2,59.0,38.9,69.4
E06000050,Cheshire West and Chester,44.5,374,4,18.0,21.6,2.8,60.4,35.8,65.6
E06000051,Shropshire,47.8,101,2,16.4,24.7,3.2,58.9,41.9,69.8
E06000052,Cornwall,47.6,161,3,17.0,25.0,3.1,58.0,43.2,72.5
E06000053,Isles of Scilly,48.2,139,2,14.3,26.1,4.0,59.6,43.7,67.7
E06000054,Wiltshire,44.9,154,2,18.9,21.7,3.0,59.4,36.5,68.4
E06000055,Bedford,40.5,364,4,21.1,17.8,2.6,61.1,29.2,63.7
E06000056,Central Bedfordshire,41.1,403,5,19.9,17.9,2.2,62.2,28.9,60.9
E06000057,Northumberland,48.4,64,1,16.3,24.7,3.0,59.0,41.9,69.5
E06000058,"Bournemouth, Christchurch and Poole",42.7,2455,8,17.2,21.8,3.6,60.9,35.8,64.1
E06000059,Dorset,51,152,2,15.8,29.1,4.1,55.1,52.7,81.3
E06000060,Buckinghamshire,42.2,348,4,20.7,18.9,2.8,60.4,31.3,65.6
E07000008,Cambridge,30.3,3044,9,17.4,13.1,2.2,69.5,18.9,43.9
E07000009,East Cambridgeshire,43.4,138,2,19.7,20.4,2.7,59.9,34.1,66.9
E07000010,Fenland,45,187,3,17.9,23.0,3.2,59.1,39.0,69.3
E07000011,Huntingdonshire,43.5,196,3,18.5,20.2,2.5,61.3,32.9,63.0
E07000012,South Cambridgeshire,43.1,176,3,20.1,19.6,2.7,60.3,32.5,65.9
E07000026,Allerdale,48.3,79,1,16.4,24.7,3.2,58.9,42.0,69.9
E07000027,Barrow-in-Furness,45,860,6,17.6,21.8,2.4,60.7,35.9,64.8
E07000028,Carlisle,45.1,105,2,17.8,21.9,2.9,60.3,36.4,65.9
E07000029,Copeland,47.1,93,1,16.8,22.7,2.6,60.4,37.6,65.5
E07000030,Eden,50.8,25,1,15.1,27.0,3.6,57.9,46.5,72.6
E07000031,South Lakeland,51.3,69,1,14.8,28.5,4.1,56.7,50.2,76.4
E07000032,Amber Valley,46.1,484,5,16.8,22.2,2.7,61.0,36.4,64.0
E07000033,Bolsover,44,504,5,17.7,20.1,2.3,62.2,32.3,60.9
E07000034,Chesterfield,44.6,1589,8,17.0,21.2,2.8,61.8,34.3,61.9
E07000035,Derbyshire Dales,51.1,91,1,15.0,27.2,3.4,57.8,47.1,73.0
E07000036,Erewash,43.9,1049,7,17.9,20.6,2.9,61.5,33.4,62.5
E07000037,High Peak,46.1,172,3,17.1,21.3,2.5,61.6,34.6,62.3
E07000038,North East Derbyshire,47.9,368,4,16.4,24.8,2.8,58.8,42.2,70.0
E07000039,South Derbyshire,42,317,4,18.8,18.4,2.1,62.9,29.2,59.1
E07000040,East Devon,51.2,180,3,16.0,30.4,4.7,53.7,56.6,86.4
E07000041,Exeter,33.6,2796,9,15.5,16.0,2.6,68.4,23.4,46.1
E07000042,Mid Devon,46.7,90,1,18.4,23.5,3.1,58.1,40.6,72.2
E07000043,North Devon,48,89,1,17.4,25.3,3.4,57.4,44.0,74.3
E07000044,South Hams,51.5,98,2,15.8,28.3,3.5,56.0,50.5,78.7
E07000045,Teignbridge,49.4,199,3,16.2,26.6,3.8,57.2,46.5,74.9
E07000046,Torridge,50.7,69,1,16.0,27.7,3.4,56.3,49.3,77.7
E07000047,West Devon,51.3,48,1,15.9,28.0,3.7,56.1,49.9,78.3
E07000061,Eastbourne,45.8,2358,8,17.3,25.1,4.4,57.6,43.5,73.5
E07000062,Hastings,43.4,3089,9,18.5,20.3,2.8,61.1,33.3,63.5
E07000063,Lewes,48,354,4,17.1,25.8,4.1,57.0,45.3,75.3
E07000064,Rother,53.1,189,3,15.0,32.1,4.8,52.8,60.9,89.4
E07000065,Wealden,49,194,3,17.1,26.1,3.7,56.8,45.9,75.9
E07000066,Basildon,39.3,1702,8,21.1,17.2,2.3,61.7,27.9,62.2
E07000067,Braintree,43.6,249,4,19.2,20.4,2.6,60.4,33.7,65.5
E07000068,Brentwood,43.3,503,5,18.7,20.4,3.4,60.9,33.4,64.2
E07000069,Castle Point,46.9,2008,8,17.1,25.4,3.0,57.5,44.1,73.8
E07000070,Chelmsford,41.6,526,5,19.1,19.2,2.7,61.6,31.2,62.2
E07000071,Colchester,37.8,592,6,18.8,17.3,2.2,63.9,27.0,56.4
E07000072,Epping Forest,42.7,388,5,19.1,19.7,3.0,61.3,32.2,63.3
E07000073,Harlow,37.5,2809,9,22.7,15.4,2.4,61.9,24.9,61.6
E07000074,Maldon,49.2,181,3,16.3,25.3,3.0,58.3,43.4,71.4
E07000075,Rochford,46.2,517,5,17.3,23.2,3.0,59.5,39.0,68.0
E07000076,Tendring,50.8,434,5,16.4,29.8,4.0,53.7,55.5,86.1
E07000077,Uttlesford,43.9,142,2,19.9,19.6,2.8,60.5,32.5,65.3
E07000078,Cheltenham,40.7,2475,8,17.7,19.7,3.1,62.6,31.5,59.8
E07000079,Cotswold,49.1,77,1,16.5,25.9,3.6,57.6,44.9,73.5
E07000080,Forest of Dean,48.2,165,3,16.5,24.7,2.9,58.8,42.0,70.0
E07000081,Gloucester,39.2,3149,9,20.1,16.9,2.3,63.0,26.8,58.7
E07000082,Stroud,46.7,260,4,17.9,22.6,2.8,59.5,38.0,67.9
E07000083,Tewkesbury,44.5,230,3,18.8,22.1,2.9,59.1,37.4,69.2
E07000084,Basingstoke and Deane,41.3,279,4,20.0,17.5,2.1,62.4,28.1,60.2
E07000085,East Hampshire,47.1,238,3,18.1,23.4,3.4,58.5,40.0,70.9
E07000086,Eastleigh,42.1,1670,8,19.3,19.6,2.8,61.1,32.1,63.7
E07000087,Fareham,46.7,1571,7,16.8,23.7,3.5,59.5,39.8,68.0
E07000088,Gosport,42.7,3394,9,18.4,20.4,2.8,61.2,33.4,63.5
E07000089,Hart,43.7,452,5,20.0,19.9,2.7,60.2,33.0,66.2
E07000090,Havant,45.9,2295,8,17.7,23.5,3.5,58.7,40.1,70.3
E07000091,New Forest,50.8,239,4,15.8,29.3,4.8,54.9,53.3,82.0
E07000092,Rushmoor,38.8,2426,8,20.1,14.9,1.9,65.0,22.9,53.8
E07000093,Test Valley,45,201,3,18.8,21.7,2.9,59.5,36.5,68.1
E07000094,Winchester,43.7,189,3,18.5,21.4,3.3,60.1,35.6,66.4
E07000095,Broxbourne,40.2,1907,8,20.5,17.9,2.5,61.7,28.9,62.2
E07000096,Dacorum,40.7,730,6,20.5,17.3,2.7,62.1,27.9,60.9
E07000098,Hertsmere,40.9,1039,7,21.4,18.4,2.9,60.2,30.5,66.0
E07000099,North Hertfordshire,42.2,356,4,19.7,19.2,2.9,61.1,31.4,63.7
E07000102,Three Rivers,41.8,1049,7,20.5,18.2,2.8,61.3,29.7,63.2
E07000103,Watford,37,4599,10,22.3,13.3,2.0,64.4,20.7,55.3
E07000105,Ashford,42,224,3,20.7,19.4,2.4,59.9,32.5,66.9
E07000106,Canterbury,38.2,535,5,15.9,20.6,3.1,63.5,32.5,57.5
E07000107,Dartford,37.3,1543,7,22.5,14.1,2.1,63.4,22.2,57.8
E07000108,Dover,46.6,375,4,17.5,23.5,3.0,58.9,39.9,69.7
E07000109,Gravesham,39.7,1080,7,21.4,17.4,2.4,61.3,28.3,63.3
E07000110,Maidstone,41.4,437,5,20.0,19.2,2.6,60.8,31.6,64.4
E07000111,Sevenoaks,44.3,327,4,20.2,21.6,3.2,58.2,37.2,71.9
E07000112,Folkestone and Hythe,47.3,317,4,16.9,24.8,3.4,58.3,42.6,71.6
E07000113,Swale,41.1,401,5,20.3,19.2,2.2,60.5,31.8,65.4
E07000114,Thanet,45.1,1378,7,18.9,23.8,3.1,57.3,41.6,74.6
E07000115,Tonbridge and Malling,42.2,551,5,20.5,18.8,2.4,60.7,31.1,64.8
E07000116,Tunbridge Wells,43.2,359,4,20.2,19.4,3.2,60.4,32.1,65.5
E07000117,Burnley,40,801,6,21.0,18.7,2.3,60.2,31.1,66.1
E07000118,Chorley,43.5,582,6,18.5,20.0,2.1,61.6,32.4,62.4
E07000119,Fylde,50.5,487,5,15.6,27.6,3.9,56.9,48.5,75.9
E07000120,Hyndburn,39.8,1110,7,20.8,18.5,2.1,60.7,30.5,64.8
E07000121,Lancaster,39.5,254,4,16.8,19.9,2.6,63.2,31.5,58.1
E07000122,Pendle,39.7,545,5,21.2,18.7,2.3,60.2,31.1,66.2
E07000123,Preston,35.3,1008,7,20.5,14.7,1.9,64.8,22.8,54.3
E07000124,Ribble Valley,48.1,104,2,16.9,23.7,3.2,59.4,40.0,68.5
E07000125,Rossendale,42.5,518,5,19.6,18.7,2.2,61.6,30.4,62.2
E07000126,South Ribble,44.6,980,7,18.2,21.5,2.5,60.3,35.6,65.8
E07000127,West Lancashire,44.6,329,4,17.3,22.1,2.8,60.6,36.6,65.1
E07000128,Wyre,49.9,397,5,15.8,27.8,3.7,56.5,49.2,77.1
E07000129,Blaby,42.9,781,6,19.1,20.3,2.7,60.6,33.6,65.1
E07000130,Charnwood,38.4,666,6,17.0,18.1,2.4,64.9,28.0,54.1
E07000131,Harborough,46.2,158,3,18.3,21.9,2.8,59.7,36.7,67.5
E07000132,Hinckley and Bosworth,45.1,381,5,17.8,22.1,2.6,60.1,36.7,66.4
E07000133,Melton,47.6,106,2,17.6,23.1,2.8,59.4,38.8,68.4
E07000134,North West Leicestershire,43.9,371,4,18.3,20.1,2.3,61.6,32.5,62.3
E07000135,Oadby and Wigston,42.6,2376,8,18.4,21.7,3.8,59.9,36.2,67.0
E07000136,Boston,41.9,192,3,19.3,20.9,2.7,59.8,35.0,67.2
E07000137,East Lindsey,52.4,80,1,15.2,30.0,3.4,54.7,54.8,82.7
E07000138,Lincoln,33.4,2758,9,16.6,15.4,2.3,68.1,22.6,46.9
E07000139,North Kesteven,46.3,127,2,17.4,23.6,2.8,59.0,40.0,69.6
E07000140,South Holland,46.4,127,2,17.6,24.2,3.3,58.2,41.7,71.9
E07000141,South Kesteven,46.5,151,2,18.4,23.2,2.9,58.5,39.6,71.0
E07000142,West Lindsey,48.2,83,1,17.2,24.8,2.8,58.0,42.8,72.5
E07000143,Breckland,46.8,107,2,17.4,25.1,3.5,57.5,43.7,73.9
E07000144,Broadland,48.1,237,3,16.4,25.8,3.6,57.7,44.7,73.2
E07000145,Great Yarmouth,45.9,571,6,17.9,24.4,3.2,57.7,42.4,73.4
E07000146,King's Lynn and West Norfolk,47.9,105,2,17.6,26.2,3.4,56.2,46.6,77.9
E07000147,North Norfolk,54.3,109,2,13.8,33.2,4.8,53.0,62.6,88.7
E07000148,Norwich,33.5,3604,9,16.9,15.1,2.4,68.0,22.2,47.1
E07000149,South Norfolk,46.2,155,2,18.1,24.0,3.3,57.9,41.5,72.8
E07000150,Corby,37.5,903,6,22.5,14.2,1.5,63.3,22.4,58.0
E07000151,Daventry,45,130,2,18.6,20.6,2.3,60.8,33.8,64.4
E07000152,East Northamptonshire,44.8,185,3,18.9,21.2,2.7,59.9,35.4,67.0
E07000153,Kettering,41.2,437,5,20.6,18.7,2.3,60.7,30.8,64.7
E07000154,Northampton,37.6,2773,9,21.8,15.5,2.0,62.6,24.8,59.6
E07000155,South Northamptonshire,45.1,149,2,19.1,20.4,2.4,60.5,33.8,65.3
E07000156,Wellingborough,42,489,5,20.8,19.5,2.3,59.7,32.7,67.5
E07000163,Craven,50.6,49,1,15.6,27.3,3.9,57.1,47.8,75.1
E07000164,Hambleton,49.9,70,1,16.0,26.5,3.4,57.5,46.0,73.8
E07000165,Harrogate,47.5,123,2,17.7,23.6,3.6,58.8,40.1,70.2
E07000166,Richmondshire,44,41,1,16.4,21.4,2.5,62.2,34.3,60.7
E07000167,Ryedale,50.4,37,1,15.6,27.0,3.6,57.4,47.1,74.4
E07000168,Scarborough,50.1,133,2,16.0,27.5,3.5,56.5,48.8,77.1
E07000169,Selby,44.5,151,2,18.4,20.4,2.3,61.1,33.4,63.6
